question,answer
What is Artificial Intelligence?,Artificial Intelligence is the simulation of human intelligence by machines.
What is Machine Learning?,Machine Learning is a subset of AI that learns from data.
What is Deep Learning?,Deep Learning uses neural networks with multiple layers.
What is NLP?,Natural Language Processing helps computers understand human language.
What is Computer Vision?,Computer Vision enables computers to understand images and videos.
What is Generative AI?,Generative AI creates new content such as text images and audio.
What is ChatGPT?,ChatGPT is an AI chatbot developed by OpenAI.
What is supervised learning?,Supervised learning uses labeled data to train models.
What is unsupervised learning?,Unsupervised learning finds patterns in unlabeled data.
What is reinforcement learning?,Reinforcement learning learns through rewards and penalties.